id,data,cliente_id,tipo,valor,descricao,categoria
1,2026-01-03,PF-NORTE-001,credito,2937.75,Recebimento de bonus trimestral,bonus
2,2026-01-06,PF-SUL-014,debito,211.40,Almoco em restaurante,alimentacao
3,2026-01-09,PF-LESTE-027,debito,294.40,Compra de vestuario,vestuario
4,2026-01-12,PF-OESTE-033,debito,377.40,Abastecimento do veiculo,transporte
5,2026-01-15,PJ-ALFA-102,credito,3485.75,Recebimento de salario mensal,salario
6,2026-01-13,PJ-ORION-208,debito,543.40,Pagamento de aluguel,moradia
7,2026-01-16,PF-CENTRO-311,credito,3759.75,Pagamento de servico freelancer,freelance
8,2026-01-19,PJ-ATLAS-417,debito,709.40,Pagamento de internet residencial,internet
9,2026-01-22,PF-NORTE-001,debito,792.40,Pagamento de conta de agua,agua
10,2026-01-25,PF-SUL-014,debito,875.40,Mensalidade escolar,educacao
11,2026-01-23,PF-LESTE-027,credito,4307.75,Recebimento de bonus trimestral,bonus
12,2026-01-26,PF-OESTE-033,debito,81.40,Assinatura de streaming,streaming
13,2026-01-29,PJ-ALFA-102,credito,4581.75,Transferencia recebida entre contas,transferencia
14,2026-02-01,PJ-ORION-208,debito,247.40,Plano de musica digital,musica
15,2026-02-04,PF-CENTRO-311,debito,12285.99,Servico de armazenamento em nuvem,nuvem
16,2026-02-02,PJ-ATLAS-417,debito,413.40,Transferencia para reserva financeira,transferencia
17,2026-02-05,PF-NORTE-001,credito,5129.75,Pagamento de servico freelancer,freelance
18,2026-02-08,PF-SUL-014,debito,579.40,Pagamento via transferencia bancaria,transferencia
19,2026-02-11,PF-LESTE-027,credito,5403.75,Estorno de cobranca,estorno
20,2026-02-14,PF-OESTE-033,debito,745.40,Compra em farmacia,farmacia
21,2026-02-12,PJ-ALFA-102,debito,828.40,Almoco em restaurante,alimentacao
22,2026-02-15,PJ-ORION-208,debito,911.40,Compra de vestuario,vestuario
23,2026-02-18,PF-CENTRO-311,credito,5951.75,Transferencia recebida entre contas,transferencia
24,2026-02-21,PJ-ATLAS-417,debito,117.40,Compra de itens para casa,lar
25,2026-02-24,PF-NORTE-001,credito,6225.75,Recebimento de salario mensal,salario
26,2026-02-22,PF-SUL-014,debito,283.40,Pagamento de conta de energia,energia
27,2026-02-25,PF-LESTE-027,debito,366.40,Pagamento de internet residencial,internet
28,2026-02-28,PF-OESTE-033,debito,449.40,Pagamento de conta de agua,agua
29,2026-03-03,PJ-ALFA-102,credito,6773.75,Estorno de cobranca,estorno
30,2026-03-06,PJ-ORION-208,debito,615.40,Pagamento de plano de saude,saude
31,2026-03-04,PF-CENTRO-311,credito,2847.75,Recebimento de bonus trimestral,bonus
32,2026-03-07,PJ-ATLAS-417,debito,781.40,Licenca de software profissional,software
